year,Average of average_temp
1901,18.4672138
1902,18.29326599
1903,18.37209596
1904,18.2766835
1905,18.33644781
1906,18.40551347
1907,18.12205387
1908,18.25075758
1909,18.28173401
1910,18.32723064
1911,18.31069024
1912,18.30652357
1913,18.34482323
1914,18.45559764
1915,18.45892256
1916,18.42630471
1917,18.18930976
1918,18.3
1919,18.32032828
1920,18.4016835
1921,18.45719697
1922,18.3483165
1923,18.45063131
1924,18.41919192
1925,18.44351852
1926,18.6415404
1927,18.51010101
1928,18.4662037
1929,18.2118266
1930,18.53771044
1931,18.42723064
1932,18.5226431
1933,18.30092593
1934,18.6297138
1935,18.5209596
1936,18.5760101
1937,18.69217172
1938,18.67180135
1939,18.61755051
1940,18.38914141
1941,18.5584596
1942,18.47445286
1943,18.55223064
1944,18.63030303
1945,18.54048822
1946,18.64570707
1947,18.74010943
1948,18.61372054
1949,18.58122896
1950,18.43434343
1951,18.62487374
1952,18.61262626
1953,18.62925084
1954,18.3631734
1955,18.4665404
1956,18.09103535
1957,18.55938552
1958,18.75488215
1959,18.62167508
1960,18.67441077
1961,18.71548822
1962,18.50467172
1963,18.50126263
1964,18.36355219
1965,18.30820707
1966,18.69406566
1967,18.41039562
1968,18.39675926
1969,18.53766835
1970,18.59116162
1971,18.37180135
1972,18.43051347
1973,18.64006734
1974,18.39057239
1975,18.52222222
1976,18.24423401
1977,18.65311448
1978,18.49141414
1979,18.71978114
1980,18.60117845
1981,18.70193603
1982,18.65361953
1983,18.91060606
1984,18.56628788
1985,18.50774411
1986,18.62521044
1987,18.82188552
1988,18.90669192
1989,18.84259259
1990,19.11039562
1991,18.83059764
1992,18.75576599
1993,18.73055556
1994,19.04074074
1995,19.02828283
1996,18.73249158
1997,19.00185185
1998,19.34621212
1999,19.17390572
2000,19.16304714
2001,19.23585859
2002,19.35172559
2003,19.26847643
2004,19.22798822
2005,19.23602694
2006,19.29393939
2007,19.37361111
2008,19.24604377
2009,19.3858165
2010,19.40088384
2011,19.2388468
2012,19.25761785
2013,19.32302189
2014,19.52058081
2015,19.63994108
2016,19.6793771
2017,19.54204545
2018,19.58771044
2019,19.68792088
2020,19.71426768
